Y_RNA	0.0
Y_RNA	0.0
RNU6-556P	0.0
RNU1-62P	0.0
SNORA64	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORA63	0.0
SNORA27	0.0
RN7SKP104	0.0
Y_RNA	0.0
SNORA31	0.0
RNA5SP389	0.0
RNU6-633P	0.0
RNU4-15P	0.0
Y_RNA	0.0
RNU1-70P	0.0
SNORD115-25	0.0
Y_RNA	0.0
RNU6-1313P	0.0
RNU1-94P	0.0
RNU6-247P	0.0
RNA5SP110	0.0
RNA5SP477	0.0
RNU6-212P	0.0
RNU6-235P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-386P	0.0
RNA5SP226	0.0
RNA5SP295	0.0
RNU6-462P	0.0
Y_RNA	0.0
RNA5SP305	0.0
RNU6-315P	0.0
Y_RNA	0.0
RNA5SP195	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-545P	0.0
SNORA63	0.0
RNA5SP361	0.0
RNU6-37P	0.0
RNA5SP502	0.0
Y_RNA	0.0
SNORA64	0.0
Y_RNA	0.0
RNU5A-1	0.0
RNU6-228P	0.0
SNORA22	0.0
RNA5SP174	0.0
SNORD18C	0.0
SNORD114-1	0.0
RNU6-822P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP119	0.0
Y_RNA	0.0
RNA5SP321	0.0
SNORD114-14	0.0
RNU6-1301P	0.0
Y_RNA	0.0
RNU6-859P	0.0
RNU6-562P	0.0
RNU6-951P	0.0
RNY4P24	0.0
RNA5SP124	0.0
RNA5SP258	0.0
RN7SKP20	0.0
RNU6-989P	0.0
RNU6-1010P	0.0
RNU1-14P	0.0
Y_RNA	0.0
SNORD33	0.0
SNORA63	0.0
RNU4-79P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP319	0.0
RN7SKP294	0.0
RNU4-90P	0.0
RNU6-1330P	0.0
RNU6-1272P	0.0
RNU1-35P	0.0
RNU6-1266P	0.0
U3	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU4-21P	0.0
SNORD16	0.0
RNU6-862P	0.0
Y_RNA	0.0
Y_RNA	0.0
RN7SKP185	0.0
RNU1-38P	0.0
RN7SKP173	0.0
RNU6-1128P	0.0
RNU6-446P	0.0
Y_RNA	0.0
RNU6-223P	0.0
Y_RNA	0.0
RNU6-170P	0.0
SNORD115-29	0.0
Y_RNA	0.0
RNU4-23P	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORD115-2	0.0
U8	0.0
Y_RNA	0.0
Y_RNA	0.0
RN7SKP74	0.0
U3	0.0
RNU6-655P	0.0
RN7SKP95	0.0
RNU6-1079P	0.0
Y_RNA	0.0
RNA5SP307	0.0
RNU6-227P	0.0
RNU6-552P	0.0
Y_RNA	0.0
SNORD36A	0.0
Y_RNA	0.0
SNORD104	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-363P	0.0
RNU6-78P	0.0
RNA5SP426	0.0
RNU1-76P	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORD115-9	0.0
SNORD56	0.0
RNU6-1287P	0.0
SNORA52	0.0
RNA5SP188	0.0
SNORA42	0.0
RNY3P2	0.0
RNU6-836P	0.0
RNU6-451P	0.0
RNU6-1233P	0.0
RNU6-924P	0.0
Y_RNA	0.0
SNORD114-5	0.0
Y_RNA	0.0
RNU6-1159P	0.0
RNA5SP383	0.0
RNU1-134P	0.0
RNA5SP491	0.0
RNA5SP374	0.0
RNU6-428P	0.0
RNU6-1260P	0.0
SNORA17	0.0
RNU6-199P	0.0
RNU6-1290P	0.0
RN7SKP291	0.0
Y_RNA	0.0
SNORD115-21	0.0
RNU1-47P	0.0
RNA5SP71	0.0
RNA5SP150	0.0
Y_RNA	0.0
RNA5SP358	0.0
RNA5SP375	0.0
RNU1-72P	0.0
RNU5F-6P	0.0
U3	0.0
RNU6-490P	0.0
U3	0.0
SNORD50	0.0
RNU6-1120P	0.0
RNU6-582P	0.0
Y_RNA	0.0
RNU6-495P	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-942P	0.0
RNA5SP452	0.0
Y_RNA	0.0
RN7SKP149	0.0
RNU1-120P	0.0
RNU6-888P	0.0
Y_RNA	0.0
RN7SKP90	0.0
Y_RNA	0.0
RNU6-330P	0.0
RNU6-249P	0.0
Y_RNA	0.0
RNU1-17P	0.0
snoU2_19	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP463	0.0
Y_RNA	0.0
RNU6-1273P	0.0
RNU6-492P	0.0
RNU5B-2P	0.0
RNA5S10	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORD114-16	0.0
RNU4-44P	0.0
RNU6-161P	0.0
RNU6-1252P	0.0
ACEA_U3	0.0
RNA5SP405	0.0
RNU1-18P	0.0
RNY1P16	0.0
SNORD81	0.0
Y_RNA	0.0
Y_RNA	0.0
RN7SKP75	0.0
SNORD114-19	0.0
RNU6-653P	0.0
Y_RNA	0.0
RNA5SP443	0.0
SNORA2	0.0
SNORD115-14	0.0
SNORD1B	0.0
Y_RNA	0.0
RNU6-605P	0.0
Y_RNA	0.0
SNORD115-19	0.0
SNORD115-3	0.0
RNU6-797P	0.0
RN7SKP243	0.0
SNORA73	0.0
Y_RNA	0.0
RNA5SP264	0.0
RNU6-486P	0.0
VTRNA1-1	0.0
RNA5SP145	0.0
RNU6-986P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-623P	0.0
RNA5SP448	0.0
Y_RNA	0.0
U8	0.0
RNA5SP98	0.0
RNU6-642P	0.0
RNU6-403P	0.0
RNU4-73P	0.0
RNA5SP65	0.0
RNA5SP32	0.0
Y_RNA	0.0
Y_RNA	0.0
RN7SKP115	0.0
RNU6-812P	0.0
Y_RNA	0.0
SNORD45	0.0
Y_RNA	0.0
RN7SKP63	0.0
RNA5SP218	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU4-58P	0.0
SNORA30	0.0
RNY4P9	0.0
Y_RNA	0.0
RNU4-80P	0.0
SNORD44	0.0
SNORA25	0.0
RNA5SP326	0.0
SNORD68	0.0
Y_RNA	0.0
RNU6-433P	0.0
SNORA73B	0.0
SNORD114-31	0.0
Y_RNA	0.0
RN7SKP163	0.0
RNU6-181P	0.0
RNU6-1167P	0.0
RNU6-508P	0.0
RNU6-252P	0.0
RNU6-251P	0.0
RNU6-984P	0.0
RNU6-1249P	0.0
RNU6-774P	0.0
SNORD56	0.0
SNORA51	0.0
RNA5SP123	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORA63	0.0
RN7SKP77	0.0
RNU6-1021P	0.0
Y_RNA	0.0
RNY1P10	0.0
RNU6-778P	0.0
Y_RNA	0.0
RNU6-544P	0.0
SNORD113	0.0
RN7SKP231	0.0
RNU6-216P	0.0
RNU6-23P	0.0
RNU5B-1	0.0
RN7SKP145	0.0
Y_RNA	0.0
SNORD115-18	0.0
Y_RNA	0.0
RNA5SP350	0.0
RNU5D-1	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-1309P	0.0
RNU1-19P	0.0
Y_RNA	0.0
RNU6-238P	0.0
RNU1-20P	0.0
RNU6-832P	0.0
U8	0.0
RNU1-21P	0.0
RN7SKP211	0.0
Y_RNA	0.0
RNU1-22P	0.0
SNORD74	0.0
Y_RNA	0.0
Y_RNA	0.0
RNY4P27	0.0
RNU6-992P	0.0
SNORD113-6	0.0
RNU6-745P	0.0
RNU6-839P	0.0
RNU6-697P	0.0
RNU6-179P	0.0
U3	0.0
RNU6-626P	0.0
RNA5SP382	0.0
RNA5SP197	0.0
RNU1-23P	0.0
SNORA27	0.0
SNORA70	0.0
RNA5SP133	0.0
Y_RNA	0.0
RN7SKP79	0.0
RNA5SP263	0.0
RNU6-254P	0.0
RNA5SP214	0.0
RNU6-1147P	0.0
Y_RNA	0.0
RNU6-529P	0.0
RNU6-536P	0.0
Y_RNA	0.0
RNU6-97P	0.0
SNORD35A	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-66P	0.0
RNU6-838P	0.0
RNU4-32P	0.0
RNA5SP199	0.0
RNA5SP352	0.0
SNORD114-10	0.0
RNU6-624P	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORA18	0.0
Y_RNA	0.0
RNA5SP393	0.0
SNORA36	0.0
RNU6-527P	0.0
RNU1-83P	0.0
Y_RNA	0.0
RNA5SP483	0.0
RNU6-940P	0.0
RNU6-1255P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP215	0.0
RN7SKP255	0.0
RNA5-8SP7	0.0
Y_RNA	0.0
U3	0.0
SNORA63	0.0
Y_RNA	0.0
RNA5SP391	0.0
RNA5SP62	0.0
RNU6-183P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP333	0.0
RNU1-49P	0.0
RNU1-105P	0.0
RNA5S8	0.0
Y_RNA	0.0
RNU6-485P	0.0
RNU6-1285P	0.0
Y_RNA	0.0
SNORA71D	0.0
SNORA72	0.0
RNU6-833P	0.0
RNU6-792P	0.0
Y_RNA	0.0
RNU6-511P	0.0
SNORD113-8	0.0
RNU6-666P	0.0
RNA5S17	0.0
RNU5E-8P	0.0
RNU5E-10P	0.0
SNORD56	0.0
RNU5B-4P	0.0
RN7SKP45	0.0
RNA5S4	0.0
SNORA42	0.0
RNU6-618P	0.0
RNU6-509P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-698P	0.0
SNORA38B	0.0
Y_RNA	0.0
SNORD115-24	0.0
RNU6-1099P	0.0
SNORD114-23	0.0
RNU6-1169P	0.0
RNA5SP74	0.0
RNA5SP346	0.0
SNORD114-26	0.0
SNORA63	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORD45	0.0
RNU6-1155P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU4-81P	0.0
Y_RNA	0.0
RNA5-8SP2	0.0
Y_RNA	0.0
RNU6-799P	0.0
RNU6-1066P	0.0
RNU6-1339P	0.0
RNU6-1085P	0.0
Y_RNA	0.0
RNU6-1112P	0.0
RNU6-1097P	0.0
RNU6-727P	0.0
SNORD118	1.02233683239339
RNA5SP403	0.0
RNU6-112P	0.0
RNU6-1125P	0.0
RN7SKP44	0.0
RNA5SP507	0.0
RN7SKP162	0.0
SNORD115-41	0.0
SNORD114-28	0.0
RNU6-1017P	0.0
RNU6-1244P	0.0
Y_RNA	0.0
SNORD115-11	0.0
RNA5SP322	0.0
RN7SKP203	0.0
U3	0.0
Y_RNA	0.0
RNU6-1205P	0.0
U8	0.0
Y_RNA	0.0
SNORD115-5	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP378	0.0
RNU6-1214P	0.0
Y_RNA	0.0
RNU6-957P	0.0
RNU6-1209P	0.0
RNY4P14	0.0
RNA5SP457	0.0
RNU6-1331P	0.0
SNORD35B	0.0
SNORA33	0.0
SNORA25	0.0
RNY4P6	0.0
U3	0.0
Y_RNA	0.0
U3	0.0
Y_RNA	0.0
RNU6-137P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-1020P	0.0
RNU6-525P	0.0
RNU6-103P	0.0
RNA5SP429	0.0
RNU6-288P	0.0
RNU6-640P	0.0
SNORD115-39	0.0
RNU5F-7P	0.0
RNU6-829P	0.0
RNU6-1284P	0.0
Y_RNA	0.0
RNU6-414P	0.0
Y_RNA	0.0
RNA5SP514	0.0
Y_RNA	0.0
SNORD115-33	0.0
RNU6-824P	0.0
RNU1-87P	0.0
Y_RNA	0.0
RNA5SP50	0.0
Y_RNA	0.0
SNORD114-11	0.0
Y_RNA	0.0
SNORD114-25	0.0
RNA5SP349	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP447	0.0
SNORA7	0.0
RNU6-1059P	0.0
SNORD18A	0.0
RNA5S6	0.0
RNA5SP325	0.0
RNY1P11	0.0
Y_RNA	0.0
SNORD113-7	0.0
Y_RNA	0.0
SNORD114-27	0.0
RNU5F-3P	0.0
SNORD115-37	0.0
RNU6-1210P	0.0
Y_RNA	0.0
RNU6-226P	0.0
RNA5SP343	0.0
RNA5SP114	0.0
Y_RNA	0.0
SNORA25	0.0
RNU4-92P	0.0
SNORA5B	0.0
SNORD116-10	0.0
Y_RNA	0.0
RNU6-1188P	0.0
RNU6-912P	0.0
RN7SKP174	0.0
RN7SKP160	0.0
SNORD18	0.0
SNORD115-4	0.0
RNU6-263P	0.0
RNU6-379P	0.0
Y_RNA	0.0
RNY3P3	0.0
RNA5SP335	0.0
Y_RNA	0.0
U3	0.0
RNU6-674P	0.0
Y_RNA	0.0
RNU6-873P	0.0
SNORD45	0.0
RN7SKP93	0.0
RNA5SP27	0.0
RNA5SP28	0.0
RNU6-682P	0.0
Y_RNA	0.0
RN7SKP103	0.0
RNA5SP260	0.0
RNU6-931P	0.0
SNORD115-8	0.0
RNU6-271P	0.0
RNU1-124P	0.0
RNU6-194P	0.0
SNORD38	0.0
Y_RNA	0.0
RNA5SP472	0.0
RNA5SP161	0.0
Y_RNA	0.0
RNU1-31P	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORD56	0.0
Y_RNA	0.0
RNA5SP68	0.0
RNU6-236P	0.0
SNORD115-16	0.0
RNU6-884P	0.0
RN7SKP113	0.0
RNU6-961P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-478P	0.0
RNU6-105P	0.0
RN7SKP180	0.0
SNORD8	0.0
RNA5SP234	0.0
Y_RNA	0.0
RNU1-65P	0.0
RNU6-631P	0.0
SNORA80A	0.0
RN7SKP250	0.0
RNU4-1	0.0
RNU6-753P	0.0
RNU6-770P	0.0
RNU1-130P	0.0
SNORD115-28	0.0
RNA5SP275	0.0
RNU1-32P	0.0
SNORD115-6	0.0
RNU6-595P	0.0
RNU6-1091P	0.0
SNORA38	0.0
RNU6-899P	0.0
RNU6-1204P	0.0
Y_RNA	0.0
SNORD114-2	0.0
RNU6-324P	0.0
Y_RNA	0.0
RN7SKP134	0.0
SNORD36B	0.0
SNORD114-4	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP48	0.0
RNU6-82P	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP499	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
RN7SKP36	0.0
RNU6-457P	0.0
RNU6-810P	0.0
RNA5SP456	0.0
RNA5SP399	0.0
Y_RNA	0.0
RNU6-340P	0.0
RNU6-560P	0.0
SNORD14E	0.0
RNU6-681P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU1-146P	0.0
RNU6-598P	0.0
Y_RNA	0.0
RNU4-13P	0.0
RNA5SP99	0.0
SNORD74	0.0
RNU6-944P	0.0
RN7SKP245	0.0
SNORD74	0.0
RNU6-1243P	0.0
RNU6-627P	0.0
RNU1-42P	0.0
RNU6-854P	0.0
SNORD46	0.0
RNA5SP435	0.0
RNU6-553P	0.0
Y_RNA	0.0
RNU6-1048P	0.0
RNU6-960P	0.0
RNU6-1090P	0.0
RNU6-694P	0.0
RNU6-501P	0.0
SNORD115-32	0.0
Y_RNA	0.0
RNU6-801P	0.0
SNORA74A	0.0
RNU6-289P	0.0
RN7SKP87	0.0
SNORD95	0.0
RNU5A-8P	0.0
RNU4-87P	0.0
RNU1-7P	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORA45A	0.0
RNA5SP493	0.0
RNU6-819P	0.0
SNORD115-30	0.0
SNORA25	0.0
RNU1-85P	0.0
Y_RNA	0.0
SNORD74	0.0
RNA5SP516	0.0
RNU6-270P	0.0
SNORA58	0.0
Y_RNA	0.0
SNORD46	0.0
RN7SKP224	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP232	0.0
RNU6-280P	0.0
RNU6-374P	0.0
RNU6-743P	0.0
RNY3P11	0.0
SNORD74	0.0
Y_RNA	0.0
RN7SKP107	0.0
RNU6-151P	0.0
Y_RNA	0.0
RNU6-704P	0.0
RNU1-96P	0.0
Y_RNA	0.0
RNA5SP469	0.0
SNORD113	0.0
RNA5SP242	0.0
SNORA38	0.0
RNU6-268P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-668P	0.0
RNA5SP336	0.0
RNU6-461P	0.0
RN7SKP280	0.0
RNU4-84P	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU4-51P	0.0
RNU6-188P	0.0
RN7SKP214	0.0
Y_RNA	0.0
RNU6-173P	0.0
RNA5SP394	0.0
Y_RNA	0.0
RNU6-266P	0.0
RNA5SP387	0.0
RNU6-366P	0.0
RNY1	0.0
Y_RNA	0.0
RNU6-11P	0.0
RNA5SP245	0.0
RNU6-647P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU1-33P	0.0
RNY1P12	0.0
RNU6-773P	0.0
SNORA58	0.0
SNORA4	0.0
Y_RNA	0.0
RNU6-777P	0.0
RNU6-353P	0.0
RN7SKP128	0.0
RNVU1-8	0.0
SNORD115-42	0.0
RNA5SP175	0.0
RNA5SP42	0.0
SNORD56	0.0
RNU6-371P	0.0
RNU1-24P	0.0
SNORA62	0.0
Y_RNA	0.0
RN7SKP10	0.0
RNU6-454P	0.0
RNU4-36P	0.0
RNU6-1229P	0.0
RNA5SP368	0.0
RNU1-132P	0.0
RNU6-853P	0.0
Y_RNA	0.0
RNU6-1322P	0.0
RNU6-115P	0.0
RNU6-670P	0.0
RNVU1-3	0.0
RNU4-68P	0.0
RNA5SP202	0.0
RNU4-33P	0.0
Y_RNA	0.0
RNU6-879P	0.0
RN7SKP118	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORD42	0.0
RNA5SP139	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU4-40P	0.0
RNU6-1305P	0.0
RNA5-8SP3	0.0
Y_RNA	0.0
SNORA63	0.0
RNU4-50P	0.0
Y_RNA	0.0
SNORD114-9	0.0
RNU6-978P	0.0
RNY1P1	0.0
RNU6-654P	0.0
SNORA25	0.0
SNORD114-13	0.0
RNU4-10P	0.0
RNU6-990P	0.0
RNU6-1075P	0.0
SNORD114-6	0.0
SNORD73	0.0
RNU6-755P	0.0
RNU1-112P	0.0
RNU6-776P	0.0
RNA5SP192	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
5S_rRNA	0.0
RN7SKP171	0.0
RNU6-1047P	0.0
RN7SKP76	0.0
RNU1-34P	0.0
RNU6-153P	0.0
RNU6-1019P	0.0
RNU4-41P	0.0
Y_RNA	0.0
RNU6-1164P	0.0
SNORD115-27	0.0
RNA5SP130	0.0
SNORA65	0.0
RNU6-512P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP72	0.0
Y_RNA	0.0
RN7SKP227	0.0
SNORA7	0.0
RNU4-59P	0.0
SNORD114-30	0.0
RNA5S9	0.0
RNU6-361P	0.0
RNA5SP142	0.0
SNORD115-22	0.0
U3	0.0
SNORD32B	0.0
SNORD115-23	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-421P	0.0
RNU4-38P	0.0
Y_RNA	0.0
U3	0.0
RNA5SP69	0.0
RNU105B	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5S14	0.0
RNA5SP500	0.0
RN7SKP193	0.0
RNA5SP433	0.0
Y_RNA	0.0
RN7SKP37	0.0
Y_RNA	0.0
RNU6-522P	0.0
U3	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-1251P	0.0
SNORA70	0.0
RNY4P23	0.0
RNU4-76P	0.0
RNU6-558P	0.0
SNORA32	0.0
RNU6-1163P	0.0
SNORA68	0.0
RNU6-1141P	0.0
RNU6-1078P	0.0
SNORA71	0.0
RNA5SP140	0.0
RN7SKP257	0.0
U8	0.0
SNORD14B	0.0
Y_RNA	0.0
SNORA68	0.0
snoZ40	0.0
Y_RNA	0.0
RNA5SP141	0.0
RNA5SP204	0.0
RNA5SP512	0.0
Y_RNA	0.0
RN7SKP246	0.0
Y_RNA	0.0
RN7SKP71	0.0
RNU6-1277P	0.0
Y_RNA	0.0
RNU6-335P	0.0
RNU4-24P	0.0
RNU6-660P	0.0
RNU4-67P	0.0
RNA5SP515	0.0
RNU6-646P	0.0
Y_RNA	0.0
RNU6-309P	0.0
RNU6-1082P	0.0
RNA5SP509	0.0
SNORA63	0.0
Y_RNA	0.0
RNU6-1317P	0.0
SNORA55	0.0
RNU4-4P	0.0
Y_RNA	0.0
SNORA51	0.0
Y_RNA	0.0
SNORA16	0.0
RNA5SP379	0.0
RNY4P7	0.0
RNU6-164P	0.0
RNA5SP353	0.0
SNORD115-17	0.0
Y_RNA	0.0
SNORD45B	0.0
Y_RNA	0.0
RNU4-75P	0.0
RNA5SP78	0.0
RNU1-141P	0.0
RN7SKP275	0.0
Y_RNA	0.0
RNU6-312P	0.0
SNORD113	0.0
Y_RNA	0.0
SNORD74	0.0
RN7SKP217	0.0
Y_RNA	0.0
SNORA71C	0.0
SNORA51	0.0
RNU6-707P	0.0
RNA5SP513	0.0
RNU6-645P	0.0
RNA5SP205	0.0
RNU6-450P	0.0
RNA5SP478	0.0
Y_RNA	0.0
RNA5SP194	0.0
RN7SKP237	0.0
Y_RNA	0.0
SNORA1	0.0
SNORA62	0.0
SNORA16B	0.0
RNU4-85P	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-726P	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORD114-15	0.0
RNVU1-6	0.0
RNU6-973P	0.0
Y_RNA	0.0
RN7SKP50	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP510	0.0
SNORD114-17	0.0
RNU4-56P	0.0
Y_RNA	0.0
RNU1-93P	0.0
RNU6-343P	0.0
RN7SKP78	0.0
RN7SKP191	0.0
Y_RNA	0.0
RNU6-593P	0.0
RNA5S2	0.0
RNU6-99P	0.0
snoU2_19	0.0
RNA5SP517	0.0
RNA5SP132	0.0
Y_RNA	0.0
RNU6-219P	0.0
RN7SKP124	0.0
Y_RNA	0.0
RNU6-740P	0.0
RNU4-16P	0.0
RNU4-42P	0.0
RNU4-28P	0.0
RNA5SP84	0.0
RN7SKP15	0.0
RNU6-200P	0.0
RNU1-91P	0.0
RNA5SP505	0.0
SNORA67	0.0
RNA5SP51	0.0
RNU6-621P	0.0
RNU6-923P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU4-7P	0.0
Y_RNA	0.0
SNORD115-48	0.0
Y_RNA	0.0
RNY4P16	0.0
RN7SKP28	0.0
RNU6-1187P	0.0
RNU6-865P	0.0
SNORA14A	0.0
Y_RNA	0.0
RNU4-91P	0.0
RNY4P34	0.0
RNU6-7	0.0
RNU6-283P	0.0
RNU12-2P	0.0
SNORA20	0.0
RNU6-60P	0.0
Y_RNA	0.0
RN7SKP6	0.0
SNORD74	0.0
Y_RNA	0.0
RNA5SP90	0.0
SNORD113-4	0.0
U3	0.0
SNORD32A	0.0
Y_RNA	0.0
SNORD115-15	0.0
Y_RNA	0.0
Y_RNA	0.0
RN7SKP239	0.0
RNU6-1107P	0.0
SNORD114-29	0.0
RNY1P2	0.0
RNA5SP334	0.0
RNU1-59P	0.0
SNORD113-3	0.0
SNORA25	0.0
RNA5SP396	0.0
RNU6-818P	0.0
RNA5SP359	0.0
RNU6-686P	0.0
SNORD113	0.0
RNU6-1303P	0.0
RNA5SP125	0.0
RN7SKP133	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-304P	0.0
RNA5SP173	0.0
RNA5SP479	0.0
SNORA43	0.0
RNA5SP160	0.0
RNU1-133P	0.0
Y_RNA	0.0
RNU6-563P	0.0
RNU6-34P	0.0
RNU6-828P	0.0
RNU6-534P	0.0
Y_RNA	0.0
RNU6-119P	0.0
SNORD52	0.0
Y_RNA	0.0
RN7SKP55	0.0
RNU6-336P	0.0
RNA5SP267	0.0
RNA5SP302	0.0
RNU6-384P	0.0
SNORA5C	0.0
Y_RNA	0.0
RNU6-1325P	0.0
Y_RNA	0.0
RNU6-275P	0.0
RN7SKP226	0.0
SNORD117	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-1071P	0.0
RNA5SP189	0.0
SNORA63	0.0
RN7SKP9	0.0
RN7SKP130	0.0
RNU6-392P	0.0
Y_RNA	0.0
RNU5E-4P	0.0
RNU6-1180P	0.0
RNU4-8P	0.0
SNORA27	0.0
U8	0.0
U8	0.0
SNORA71	0.0
RNA5SP488	0.0
RNU6-915P	0.0
RNU6-526P	0.0
SNORA73	0.0
RNY4P17	0.0
Y_RNA	0.0
RNU4-9P	0.0
RNA5SP149	0.0
SNORD48	0.0
RNU6-1131P	0.0
RNU6-867P	0.0
SNORA33	0.0
Y_RNA	0.0
SNORD115-1	0.0
SNORD114-3	0.0
Y_RNA	0.0
RNA5SP166	0.0
SNORD31	0.0
Y_RNA	0.0
RNU6-702P	0.0
RNA5SP331	0.0
Y_RNA	0.0
RNA5SP298	0.0
SNORA51	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-294P	0.0
RN7SKP178	0.0
RNA5SP97	0.0
Y_RNA	0.0
snoU2-30	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-967P	0.0
RN7SKP153	0.0
SNORA72	0.0
SNORD114-24	0.0
RNY1P13	0.0
RN7SKP48	0.0
SNORD115-38	0.0
RNU6-590P	0.0
RNU1-140P	0.0
RN7SKP189	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-1022P	0.0
RNA5SP442	0.0
RNU1-43P	0.0
RNA5SP485	0.0
RNA5S15	0.0
RNA5SP172	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP224	0.0
RNA5SP363	0.0
SNORD115-10	0.0
SNORA72	0.0
SNORA70	0.0
SNORD113-9	0.0
RNU6-673P	0.0
RNY3P1	0.0
SNORA25	0.0
Y_RNA	0.0
RNA5SP126	0.0
Y_RNA	0.0
RNA5-8SP4	0.0
RN7SKP22	0.0
RNA5SP138	0.0
SNORD115-20	0.0
SNORA62	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORD115-35	0.0
SNORA23	0.0
RNA5SP428	0.0
RNU1-36P	0.0
Y_RNA	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-619P	0.0
RNU6-806P	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORD81	0.0
RNU6-934P	0.0
RNU6-1240P	0.0
RNU6-1134P	0.0
Y_RNA	0.0
RNU6-580P	0.0
SNORD38A	0.0
RNU6-399P	0.0
Y_RNA	0.0
RNU6-215P	0.0
Y_RNA	0.0
RNA5SP223	0.0
Y_RNA	0.0
RNA5SP324	0.0
SNORD114-20	0.0
RNU6-391P	0.0
RNU6-382P	0.0
RNA5SP152	0.0
RNA5SP19	0.0
RN7SKP80	0.0
SNORA1	0.0
RNA5SP455	0.0
RNA5SP79	0.0
RNU4-66P	0.0
RNU6-1175P	0.0
Y_RNA	0.0
RNU6-715P	0.0
Y_RNA	0.0
Y_RNA	0.0
RNU6-1280P	0.0
RNU6-290P	0.0
RNU6-1306P	0.0
RNA5SP190	0.0
SNORD58C	0.0
RNU6-1172P	0.0
RNU6-234P	0.0
Y_RNA	0.0
RNU4-12P	0.0
VTRNA1-2	0.0
RNU6-690P	0.0
RNU6-302P	0.0
RNY4P3	0.0
RNU1-100P	0.0
Y_RNA	0.0
Y_RNA	0.0
SNORD114-18	0.0
Y_RNA	0.0
Y_RNA	0.0
RNA5SP329	0.0
RNU6-407P	0.0
RNY4P28	0.0
RNU4-11P	0.0
RNU6-742P	0.0
RNU5E-7P	0.0
RNA5SP117	0.0
RNU1-114P	0.0
Y_RNA	0.0
RNU6-1327P	0.0
RNA5-8SP5	0.0
